https://heasarc.gsfc.nasa.gov/W3Browse/planck/planckgcc.html
Results from heasarc_planckgcc: Planck Catalog of Galactic Cold Clumps (PGCC)
Coordinate system: Equatorial
|name              |ra         |dec        |temperature|temperature_error|mass        |mass_error  |size      |size_error|
|PGCC G311.40-21.84|16 40 53.29|-80 39 47.1|           |                 |            |            |          |          |
|PGCC G312.21-23.03|17 15 37.28|-80 39 26.4|           |                 |            |            |          |          |
|PGCC G293.09-30.81|05 09 30.80|-80 38 16.1|  14.834000|         2.072000|            |            |          |          |
|PGCC G310.95-21.27|16 23 21.77|-80 37 57.8|  16.253000|         2.450000|            |            |          |          |
|PGCC G309.37-19.84|15 32 50.03|-80 37 43.8|  15.475000|         2.473000|            |            |          |          |
|PGCC G281.67-0.56 |10 07 10.41|-56 29 29.9|           |                 |            |            |          |          |
|PGCC G310.71-20.99|16 14 44.69|-80 36 48.4|  14.603000|         1.019000|            |            |          |          |
|PGCC G311.55-21.94|16 44 48.31|-80 36 06.0|  13.443000|         1.417000|            |            |          |          |
|PGCC G302.28-17.75|12 36 11.83|-80 36 00.4|           |                 |2.002150e+00|1.388580e+00|  0.330921|  0.030967|
|PGCC G312.25-22.95|17 14 20.07|-80 35 00.6|           |                 |            |            |          |          |
|PGCC G302.06-17.74|12 31 07.81|-80 34 23.7|  12.707000|         2.452000|2.243480e+00|1.501530e+00|  0.358513|  0.034024|
|PGCC G309.67-19.98|15 40 23.48|-80 33 21.0|  18.132999|         5.221000|            |            |          |          |
|PGCC G303.69-17.68|13 08 57.45|-80 31 28.3|  14.781000|         2.382000|9.040190e-01|4.642190e-01|  0.402543|  0.036567|
|PGCC G301.91-17.69|12 27 44.69|-80 30 48.4|  13.152000|         2.764000|3.739890e+00|2.563160e+00|  0.482309|  0.044139|
|PGCC G303.76-17.67|13 10 34.26|-80 30 21.6|  14.850000|         1.945000|9.285670e-01|4.049060e-01|  0.406354|  0.038067|
